date,UKR,counterfactual,gap
2019-01-01,0.4961721609445746,1.2363636363636366,-0.7401914754190619
2019-02-01,0.4961721609445968,1.3818181818181818,-0.885646020873585
2019-03-01,1.200349543453716,1.4454545454545455,-0.24510500200082963
2019-04-01,3.426757233409705,1.654545454545454,1.772211778864251
2019-05-01,6.839840222112215,1.1909090909090911,5.648931131203124
2019-06-01,10.788965185367092,1.1818181818181819,9.60714700354891
2019-07-01,11.89685483722076,0.881818181818182,11.015036655402577
2019-08-01,12.456899155725388,0.9545454545454546,11.502353701179933
2019-09-01,14.155643855962976,0.7636363636363636,13.392007492326613
2019-10-01,17.46615752778591,0.6636363636363637,16.802521164149546
2019-11-01,19.806120825152146,0.8727272727272727,18.933393552424874
2019-12-01,21.838759601626755,1.2363636363636363,20.60239596526312
2020-01-01,24.869574517090157,1.3,23.569574517090157
2020-02-01,28.48356419872249,1.0727272727272728,27.410836925995216
2020-03-01,34.4862754485634,0.6454545454545454,33.84082090310885
2020-04-01,45.80312445891215,0.13636363636363633,45.66676082254852
2020-05-01,60.90567462067749,-0.09090909090909091,60.99658371158658
2020-06-01,58.42543300802732,0.1,58.32543300802732
2020-07-01,57.48429182184107,0.3636363636363636,57.1206554582047
2020-08-01,55.28829572073968,-0.31818181818181823,55.6064775389215
2020-09-01,52.82340213787082,-0.3,53.12340213787082
2020-10-01,51.93230358313097,-0.2818181818181818,52.21412176494915
2020-11-01,46.44256214506859,-0.2636363636363636,46.70619850870496
2020-12-01,46.58627417857706,-0.2545454545454545,46.840819633122514
2021-01-01,43.31298844449232,0.5000000000000001,42.81298844449232
2021-02-01,40.2549033370444,0.5272727272727272,39.72763060977167
2021-03-01,32.6627575723611,0.9363636363636363,31.726393935997464
2021-04-01,20.929047967585525,1.3181818181818181,19.61086614940371
2021-05-01,9.790846181097358,1.7090909090909094,8.081755272006449
2021-06-01,7.534869889704909,1.6727272727272726,5.8621426169776365
2021-07-01,6.8922312250254025,1.8090909090909089,5.083140315934494
2021-08-01,7.8639787816165985,2.6818181818181817,5.182160599798417
2021-09-01,8.407648029507776,2.9909090909090907,5.4167389385986855
2021-10-01,7.877796377359636,3.8000000000000003,4.077796377359636
2021-11-01,12.35904222484876,4.672727272727272,7.686314952121489
